# Station.code, dt [s],dlag [s],fast dir [°]dfast dir [°], 
'DAGMA' '0.418237990205' '0.147585706252' '45.2265424267' '5.90013644656' 
'FIESA' '0.492291895138' '0.142387150494' '37.952898778' '5.41678384338' 
'PLONS' '0.45791971995' '0.100386633252' '55.0064771671' '3.64034455928' 
'ACB' '0.545084609999' '0.21919151935' '62.4548328713' '10.8061792301' 
'BNALP' '0.680642887535' '0.0901268152934' '45.3909019072' '2.639189122' 
'DIX' '0.758499833853' '0.0654751840179' '22.7922179688' '3.24691763506' 
'LAUCH' '0.913626522077' '0.161677313689' '37.5316576912' '3.14621244217' 
'BERGE' '0.308995694532' '0.184923750922' '45.2596607046' '9.84268401164' 
'PANIX' '0.901676985933' '0.126572269316' '51.7379194105' '2.16137806933' 
'MMK' '0.518081619883' '0.0938331562394' '41.9173469691' '3.75354496639' 
'METMA' '0.289658755739' '0.190022174978' '42.0276251446' '11.6032147343' 
'EMBD' '0.698955228588' '0.143117328852' '35.5872291637' '3.9503969649' 
'MUGIO' '0.63613647002' '0.114158375384' '63.0291898288' '3.26580124716' 
'WIMIS' '0.865437067288' '0.113887720406' '41.7763049189' '2.73822393976' 
'FUORN' '0.521564786433' '0.0827950351286' '54.987527133' '2.57902374608' 
'SGT04' '0.578461602211' '0.136974094323' '53.1779604144' '3.9761239182' 
'MTI02' '0.447089804257' '0.217942081266' '65.8605343131' '13.9019477463' 
'TORNY' '0.415665033041' '0.0777804744327' '26.7674840907' '6.24950082907' 
'DAVOX' '0.151678522863' '0.109539518978' '-122.758723954' '11.8754731111' 
'HASLI' '0.624192628021' '0.0917684159149' '39.0941825104' '3.34207422912' 
'SLE' '0.733702901292' '0.0869423548228' '45.8035293378' '2.26171573008' 
'AIGLE' '0.625205495979' '0.0893185801814' '24.2852115793' '4.51210155995' 
'VDL' '0.68490524315' '0.077173599281' '47.8404901858' '2.16479182101' 
'WILA' '0.489260992058' '0.0781290902884' '53.4380073667' '2.74326751269' 
'SIMPL' '0.369680478493' '0.174424278583' '40.1345340418' '8.06952789078' 
'LKBD2' '0.535223248307' '0.167488633392' '46.8229514293' '4.80729019875' 
'BERNI' '0.593252635195' '0.0832408329728' '53.1909995862' '2.48752980277' 
'SULZ' '0.488368072742' '0.0774765706218' '48.2309859434' '2.90260935514' 
'MUO' '0.461118607717' '0.0734596596116' '46.7952017893' '3.0608454803' 
'BOURR' '0.288445502783' '0.0768178209739' '50.2218875931' '5.08867526942' 
'BRANT' '0.341871067618' '0.0804421511572' '23.5248619028' '7.61800409531' 
'GIMEL' '0.380943214972' '0.0672159122067' '3.02621489034' '7.60998977393' 
'FUSIO' '0.495945554988' '0.0777375780508' '39.0727490744' '3.53859115625' 
'LLS' '0.963888040103' '0.0763285578342' '47.7936919348' '1.45135626406' 
'SGT05' '0.51148602158' '0.172606535141' '53.0635859792' '5.65497682504' 
'VANNI' '0.603332557623' '0.115912888179' '25.4886321279' '5.91423367472' 
'BALST' '0.409940180717' '0.0875302026516' '47.2981891705' '4.05704086306' 
'SENIN' '0.828086902764' '0.120445218373' '34.2424004587' '3.51150271738' 
'LIENZ' '0.518087567681' '0.142476825564' '59.0062477334' '4.36142500092' 
'ZUR' '0.370733996873' '0.0846401496626' '47.4436462289' '4.27528191353' 
