station,network,st_lat,st_lon,st_ele,mean_SNR_0,n_data,dt,phi,dt_error,phi_error,SC_fast,SC_lag,CC_fast,CC_lag
A009A,Z3,47.677545,16.090361,469.0,2.16360516001,160,1.23224159149,127.577659736,0.151449868404,4.08436162216,153.5,2.89,90.4,0.75
A006A,Z3,48.740379,16.020298,230.0,3.67904973308,238,1.07870458503,103.33340011,0.11095682276,4.82497922452,111.0,0.9,113.6,0.51
A005A,Z3,48.37843,16.120699,176.0,5.07116842101,65,1.64969573795,126.114569806,0.0380633771999,0.600955411497,6.9,1.1,120.05,2.85
A018A,Z3,47.743667,15.077621,748.0,5.47129675632,153,0.913873233486,125.477414693,0.160680737142,6.201370804,123.7,2.0,154.8,0.61
A013A,Z3,48.063503,15.406258,530.0,2.91165467546,165,0.427569560662,117.646050632,0.123016420801,11.3011064893,165.8,0.91,133.9,0.72
A024A,Z3,48.213063,14.136727,303.0,1.79551236154,60,2.03277044935,83.0874282382,0.500811190399,4.63441839929,142.2,2.93,105.1,1.41
A017A,Z3,47.947999,14.758903,589.0,4.17858989725,126,1.11501333568,73.9935486989,0.070578768548,1.34935675601,8.8,2.88,35.5,0.46
A014A,Z3,48.348264,15.161949,773.0,4.64156970882,158,0.867762788132,107.060708724,0.0887832618767,4.70730256811,100.9,0.91,149.7,0.53
JAVC,CZ,48.8591,17.6707,828.0,2.1147200847,281,1.0286736597,129.735606147,0.0616513759469,1.99809959254,152.4,0.91,121.4,0.79
VRAC,CZ,49.3084,16.5933,470.0,2.36188919445,177,1.01563921852,121.195255196,0.0654126227918,3.9948673582,136.5,2.88,135.8,0.96
A335A,Z3,48.446947,18.335925,320.0,3.12903165104,136,0.715636754361,134.551897517,0.090854843776,5.34425274387,16.2,1.7,149.4,0.71
TREC,CZ,49.2948,15.4871,559.0,2.42201412105,130,0.674838018516,103.750791646,0.0481592939392,2.42814512993,167.2,2.87,124.0,0.28
PRU,CZ,49.9883,14.5417,302.0,2.9533140117,205,0.726650984364,111.967542069,0.021759967687,2.33274613995,140.9,0.91,116.4,0.76
A007A,Z3,48.716246,15.528793,484.0,3.31523338694,181,0.530049677356,133.763766364,0.153156489641,8.66533018359,173.0,2.89,128.0,0.33
LUSI,SI,45.9595,10.9436,860.0,3.11633607022,165,0.564300381419,65.6451235257,0.220003952767,8.72782578497,31.8,2.89,66.1,0.72
A028A,Z3,47.10295,13.99576,1105.0,2.60913250473,114,1.52392584135,90.8427698981,0.111673559317,2.16123147087,36.8,2.9,112.9,1.01
BOSI,SI,46.4952,11.3185,242.0,2.4133151895,50,1.01276835075,40.4426006873,0.0106357375373,0.590359352607,13.4,1.29,38.5,1.21
A025A,Z3,47.52074,14.41648,794.0,2.86597437134,105,1.04951782781,73.9049476103,0.222683349768,5.7723786809,77.8,2.9,69.3,0.34
A033A,Z3,47.479741,13.125997,827.0,2.86005472104,240,0.573994798452,65.2200373985,0.230536486605,7.19028389546,107.3,2.86,80.1,0.8
MOSI,SI,46.6164,10.5495,1957.0,2.72747248688,105,1.56267436723,171.919208086,0.257421368516,2.83018459246,64.9,0.53,30.6,0.31
KHC,CZ,49.1309,13.5782,700.0,2.26583939175,167,0.869059166991,93.1022775161,0.121657218717,4.51223084803,157.9,1.31,116.8,0.34
KOVH,HU,46.0883,18.0999,270.0,3.1130083985,110,2.30967424581,103.899161955,0.0209196275565,0.0874065841823,30.8,3.05,56.1,0.95
GAGG,ST,46.0835,10.9587,1617.0,3.27898333376,165,1.03487926503,44.4585683818,0.241867324641,6.71646999119,119.3,1.47,32.5,1.31
KRUC,CZ,49.0619,16.3952,341.0,2.87378584716,165,0.838226817431,115.454449037,0.026871840149,1.47275958377,163.8,0.91,118.7,0.72
VYHS,SK,48.494,18.8361,480.0,4.78411475628,125,1.05109692451,134.465930038,0.0493891677656,1.76390100128,8.1,0.91,121.8,0.85
EGYH,HU,47.4162,17.3317,126.0,3.08766339961,135,2.31817740678,83.2868037788,0.0937965122012,1.72526974714,88.05,1.85,90.05,1.85
CSKK,HU,47.3631,18.2606,320.0,1.6994939825,78,0.673909008085,105.875778144,0.015101363431,1.1295151962,127.7,0.89,89.4,0.53
A026A,Z3,46.933176,14.551554,800.0,2.52617503019,230,1.31452226237,93.3387065955,0.0740869592264,1.63463161282,137.5,2.92,130.4,1.46
ABSI,SI,46.7285,11.3205,1801.0,2.81707799223,90,3.0,64.3393247096,1.55005759576,2.79379521093,8.1,1.09,38.5,1.1
A027A,Z3,46.8159,14.00737,1217.0,3.63699198173,130,1.79459073342,80.1825087269,0.0781825942595,0.994579724538,139.2,0.91,116.1,0.68
A331A,Z3,49.150114,18.220939,427.0,3.77803809628,195,0.91063591293,130.87326307,0.114907961093,6.58102934536,169.2,2.91,126.0,0.52
MODS,SK,48.373,17.277,520.0,3.26326166804,45,1.76982532207,149.180046,0.0355620319169,0.183026136584,0.05,0.05,0.05,0.05
ROSI,SI,46.9281,11.4118,1917.0,2.56521835627,79,1.2577140657,66.7340842477,0.197470823244,3.13200547388,8.9,0.72,38.4,0.56
A029A,Z3,47.43007,13.76105,992.0,3.04381275771,135,1.14214990709,81.9096099758,0.130544647278,2.33006695471,138.7,1.44,114.5,0.53
BUD,HU,47.4831,19.0201,196.0,2.13454153215,149,0.570132770443,113.643503572,0.0606866535504,4.60185843027,151.3,2.88,113.2,0.51
A332A,Z3,48.804489,18.464488,359.0,4.20537821065,197,1.3780293821,120.048239217,0.0746288289529,2.75055448172,144.0,2.89,129.5,0.79
MORC,CZ,49.7766,17.5428,740.0,2.91570720104,75,1.15161753775,124.178785534,0.110690214207,3.18276188232,164.7,2.93,109.4,1.05
SOP,HU,47.6807,16.5567,260.0,1.80759008542,164,0.914903612758,107.660233262,0.169480370145,12.2227053563,132.8,2.6,116.1,1.13
KOSI,SI,46.463,11.3778,1604.0,2.12452959962,70,1.07491914232,56.7366519733,0.0168637571724,0.478195489537,0.05,0.05,0.05,0.05
A034A,Z3,46.90914,13.07875,1050.0,2.63342613068,85,1.63555463996,88.9807229089,0.0818076895864,2.62053090084,129.0,2.05,132.0,2.87
A023A,Z3,48.46082,14.07072,587.0,inf,128,0.570119740222,102.32990417,0.117889308658,6.63579872194,117.5,2.88,54.4,1.05
A087A,Z3,49.7049,16.8893,430.0,7.56417341901,180,0.861923983985,121.538711006,0.0700950141759,2.65146075805,19.6,2.52,160.9,0.53
A022A,Z3,48.63481,14.73259,777.0,inf,135,1.30462684955,73.9818429305,0.747037463808,6.87491358269,64.6,2.91,144.5,0.49
A086A,Z3,49.8528,16.1457,391.0,2.95683156241,107,0.826953276755,136.806918913,0.260174134304,14.3977545541,146.1,1.2,115.9,0.53
A337A,Z3,48.244305,17.789761,117.0,7.57380614193,181,0.920082821528,83.9687537506,0.00836676739147,0.267379680872,115.5,0.58,114.2,0.45
A015A,Z3,48.93337,14.99364,500.0,3.07069510651,190,0.588425189928,84.2393073915,0.113375014094,5.89817660957,115.4,2.37,118.0,0.55
A339A,Z3,47.829403,17.655876,110.0,3.05322131419,99,1.60513106047,1.16751716116,0.366644929042,5.6035202353,69.4,2.88,19.3,0.72
RISI,SI,46.948,12.0787,1785.0,2.38458122036,97,1.45070520245,91.2126926156,0.0911671625994,2.21343034481,98.6,2.95,69.0,1.03
FETA,OE,47.0211,10.7291,1632.0,3.79915472547,205,1.11594169914,61.4003868306,0.0739283243819,2.26335340264,62.3,0.79,63.2,0.72
KBA,OE,47.0784,13.3447,1721.0,2.63619936169,155,1.22800097191,92.813777802,0.0702706082933,1.53915792029,156.0,0.91,98.0,2.35
A080A,Z3,49.684,14.9288,502.0,3.74912082301,142,0.579641800453,84.3066122345,0.150831428232,6.89871119875,162.3,2.55,132.0,0.34
DAVA,OE,47.2867,9.8803,1602.0,4.76704098326,180,1.55544892056,57.2598170234,0.051345163187,1.03035073565,62.2,2.89,62.3,1.74
CONA,OE,47.9282,15.8618,1046.0,2.67629309149,150,0.66719601572,117.835401575,0.0350992243588,1.90270322202,149.4,0.96,170.0,0.34
OBKA,OE,46.5092,14.5489,1074.7,2.6973709894,182,1.38815089306,93.2314941856,0.0900811812946,2.19876519502,135.4,1.13,133.5,0.9
A035A,Z3,47.1968,12.720905,1652.0,2.62624113632,141,1.18563388471,85.5276708972,0.171195997013,5.90044767447,102.4,1.65,66.2,2.88
A031A,Z3,48.42719,13.49746,366.0,3.10490018555,125,1.35406263463,90.0454866334,0.0271995454787,0.555159007297,33.2,1.13,77.9,1.13
A079A,Z3,49.2288,14.7074,438.0,3.98310202735,148,0.89873153817,85.7825315787,0.107439577289,4.03036478617,147.7,2.9,111.6,0.39
ABTA,OE,46.7474,12.5123,1041.0,3.2779198978,175,1.5833515672,74.7336825828,0.0714741668964,1.39021066745,14.6,1.83,94.0,0.53
MOTA,OE,47.3448,11.1037,1575.0,4.03000974645,232,1.15956050559,61.7630081564,0.0761825469899,1.52976354401,8.8,0.72,23.3,0.62
A020A,Z3,46.948445,15.299396,390.0,3.32373950577,85,1.69520853092,97.7107056246,0.0666517963186,3.21247544383,109.8,2.97,105.0,2.05
RETA,OE,47.4871,10.7623,965.0,4.70348669859,154,0.787813200596,54.6162880828,0.0481868471817,2.21034205023,14.5,1.39,28.0,1.11
A084A,Z3,48.9434,15.7007,403.0,4.34931269889,137,1.13606608543,108.435013166,0.0861097213074,3.3799324061,17.9,0.47,122.2,0.25
SQTA,OE,47.2205,11.2087,1307.0,3.07239944974,198,1.0387538381,50.7146649774,0.0959038531748,2.74723386349,97.9,1.57,16.4,0.9
ARSA,OE,47.2505,15.5232,577.0,2.51277413236,225,1.56614631687,69.2692727431,0.634159558894,6.0870598795,22.6,0.69,29.8,0.67
A004A,Z3,47.962876,16.397063,188.0,11.9696390327,135,1.80253651548,128.409134028,0.00313466463646,0.0517693576065,168.05,3.05,132.05,1.25
MOA,OE,47.8495,14.2659,572.0,3.30422227735,136,1.86450230066,83.0177535968,0.220799479405,1.88916746745,135.0,1.48,131.1,1.11
A083A,Z3,49.6959,15.6077,573.0,11.9881086997,137,0.838577574239,115.457184554,0.0500174785049,1.2216733491,116.05,3.05,82.1,0.25
A021A,Z3,46.756569,15.825348,265.0,2.87923550702,160,1.38810631167,90.5228387994,0.0918165738039,1.60852046372,84.2,2.92,84.6,0.53
A002A,Z3,48.317533,16.615229,162.0,2.7188282785,58,1.31941853465,124.408667173,0.0471127472939,1.39877119204,156.9,2.89,125.9,1.42
WTTA,OE,47.2638,11.6363,1764.0,2.75617587252,166,1.29037614603,62.2012736445,0.140259128536,1.72855592463,22.1,0.53,24.3,0.9
WATA,OE,47.3357,11.5763,1492.0,4.28561050048,170,1.43383113645,64.3200043136,0.14752068816,2.24667850968,8.9,1.5,41.5,1.31
A037A,Z3,47.070347,10.264323,2020.0,3.74186366165,225,1.9740624429,56.0252669427,0.0681408356518,1.29003601531,28.4,1.95,46.2,1.83
A089A,Z3,49.1521,17.092,263.0,5.02428981737,155,1.04566771447,125.790865295,0.060180472429,2.57656276022,169.3,1.13,118.5,1.03
A030A,Z3,47.8277,13.5612,640.0,3.01989657525,204,1.04190311864,84.5039031692,0.0599744728761,2.09224850747,102.0,1.31,91.2,1.85
A010A,Z3,47.073329,16.079254,266.0,3.31063747644,124,0.723278217428,94.8900294797,0.119895285646,4.33650722641,151.9,0.34,163.6,0.33
A085A,Z3,49.4392,16.1962,458.0,5.24480212147,143,1.06361750042,114.665949214,0.0695398634876,3.05982873383,144.0,2.88,139.1,1.31
A088A,Z3,49.4303,17.2911,211.0,3.52324757664,62,1.06021995779,117.445970614,0.109879142349,9.5351228852,151.6,0.83,137.7,0.81
CKRC,CZ,48.8199,14.3095,500.0,2.9536622929,120,0.434190511456,72.1953674007,0.0962475473908,9.89804080676,27.7,0.91,63.7,0.53
CSNA,OE,47.9282,15.8588,1039.0,2.63528580384,142,0.782199359815,136.661619454,0.167224749331,6.95600002198,168.9,2.88,160.8,2.88
A032A,Z3,48.12299,13.30632,608.0,7.94425088082,152,2.58493006231,61.6137098581,0.0288395273578,0.249362501013,0.05,0.05,0.05,0.05
A090A,Z3,49.3655,17.8278,659.0,3.11167347264,147,0.996136096786,139.801029421,0.107374616161,3.72222295292,147.3,0.72,118.5,0.33
A036A,Z3,47.378903,12.308427,1020.0,3.8022894688,163,1.67892400997,78.0322276466,0.209722895874,4.23725793159,30.4,2.92,85.4,2.91
