,azimuthal_amplitude,azimuthal_amplitude_good,azimuthal_amplitude_good2,chi2,chi2_alt,complexity,complexity2,dip,dip2,dt,dt_error,linearity,linearity2,n_data,network,p_val,phi,phi_error,red_chi2,rsquared,st_lat,st_lon,standard_error,station,variance_ratio,left_or_right
0,"[array([ 0.57844072,  0.0278518 ,  0.39816689,  0.06209536,  0.12656941,
        0.19895565,  0.3448409 ,  0.13263762,  0.35289666,  0.00990728])]","[array([ 1.04830624,  0.28228959,  0.77911554,  0.5422087 ,  0.10540981,
        0.96122422,  0.49101892,  0.74426173,  0.68052539,  0.09902302])]","[array([ 0.35188028,  0.35636835,  0.40622197,  0.30939769])]",40.24381588,58.7164085796,0.54220869911,0.35780983255800003,0.282289591186,0.351880279767,0.716055682027,0.0673664784182,0.7791155403929999,0.356368350682,114.0,Z3,0.999994366504,109.202840625,4.0687982818599995,0.359319784643,0.17668281564,47.677545,16.090360999999998,0.906265215749,A009A,1.22455730248,1.0
1,"[array([ 0.37512456,  0.15766643,  0.27268326,  0.0807844 ,  0.23244351,
        0.23975483,  0.26653902,  0.25921224,  0.04653682,  0.10829035])]","[array([ 0.99457603,  0.26178286,  0.76276822,  0.05898685,  0.16741662,
        0.3061787 ,  0.07647507,  0.37693195,  0.01276293,  0.45236047])]","[array([ 0.05791383,  0.40067522,  0.02862649,  0.29440272])]",26.6412135502,125.350326002,0.0589868479834,0.161514602689,0.261782856109,0.057913832657,0.8233380128810001,0.0418824958535,0.7627682195669999,0.400675223949,184.0,Z3,0.999622701607,100.981396674,1.75201818907,0.146380294232,0.43125904289399997,48.368663,15.652187,0.071063287408,A008A,2.04730118806,-1.0
2,"[array([ 0.0709569 ,  0.08268177,  0.22635585,  0.11674952,  0.01210225,
        0.09058709,  0.21381227,  0.04818008,  0.20915817,  0.11601134])]","[array([ 0.14531091,  0.33884703,  0.5900943 ,  0.17822053,  0.20006698,
        0.99163414,  0.39660727,  0.20593819,  0.73882428,  0.45690872])]","[array([ 1.30613943,  1.30264613,  0.16850197,  0.86681272])]",48.6584568782,106.98006394,0.17822053432999999,0.517657342471,0.338847029902,1.30613943371,1.5701507813,0.08260405086849999,0.590094301616,1.30264613265,118.0,IV,0.7359137051970001,170.138188179,1.5952432173500002,0.419469455847,0.768613156734,43.3666,12.5715,-0.557398847522,ATFO,1.4970213835600001,1.0
3,"[array([ 0.08944635,  0.08221635,  0.1397787 ,  0.02512778,  0.0633324 ,
        0.05145656,  0.0796681 ,  0.10425836,  0.02544789,  0.17990923])]","[array([ 0.90288802,  0.07946642,  0.07940471,  0.32512806,  0.32628205,
        0.18809911,  0.01739875,  0.30032962,  0.09281413,  0.55176675])]","[array([ 0.09794057,  0.48772933,  0.02069218,  0.1443181 ])]",34.6390678837,33.8085576249,0.32512806347199996,0.0825051412779,0.0794664162127,0.09794056528419999,0.981778260985,0.048806455657900004,0.0794047060994,0.487729334419,205.0,IV,1.0,164.32726507799998,1.4413512506000001,0.170635802383,0.653884524384,43.49807,12.94153,0.162818613191,ARVD,1.8259937425200001,1.0
4,"[array([ 0.18433326,  0.09644895,  0.30444984,  0.27102317,  0.04977513,
        0.0642961 ,  0.30104827,  0.14873165,  0.04421937,  0.31535434])]","[array([ 0.44905487,  0.13018762,  0.36903748,  0.07819469,  0.05660835,
        0.29796814,  0.65947308,  0.07114761,  0.04001813,  1.01112083])]","[array([ 0.10881416,  0.13276867,  0.04899215,  0.1324834 ])]",73.5942992813,159.254733961,0.07819469132399999,0.0907377767646,0.130187619491,0.108814164859,0.606902850016,0.14747744212799999,0.369037478653,0.132768667679,98.0,IV,6.97454937308e-05,149.139664015,5.2262944004500005,0.76660728418,0.123390123499,43.7967,11.7893,0.86429186719,ASQU,1.53783534748,1.0
5,"[array([ 0.5127589 ,  0.06133764,  0.46190028,  0.17601757,  0.06250883,
        0.36717377,  0.20442434,  0.08156192,  0.13376666,  0.03307491])]","[array([ 1.28501544,  0.20885624,  0.88180271,  0.45356625,  0.22040222,
        0.76302262,  0.75902564,  0.48171878,  0.71018684,  0.14011513])]","[array([ 0.079272  ,  0.49503735,  0.15366981,  0.46133467])]",11.8178430545,57.2252408697,0.453566254763,0.307502239729,0.208856235343,0.07927199744789999,0.808719896226,0.0292220138423,0.8818027077700001,0.495037352403,207.0,MN,1.0,98.3453662726,1.8265771064200003,0.057648014899900006,0.392467015159,44.7488,17.1839,0.20720096548,BLY,1.11543493345,1.0
6,"[array([ 0.41367312,  0.14755995,  0.51690052,  0.04060412,  0.25592597,
        0.10206805,  0.07384131,  0.03963763,  0.24305958,  0.14077786])]","[array([ 1.15199421,  0.07369514,  1.01272153,  0.22884383,  0.67333388,
        0.38289607,  0.30962291,  0.48560422,  0.06786846,  0.4869116 ])]","[array([ 0.28692736,  0.37958894,  0.27043612,  0.27592746])]",19.5812901721,268.924997432,0.228843833907,0.273181792987,0.07369513597860002,0.286927364578,0.776921209207,0.053934726794499996,1.01272153059,0.379588939488,108.0,Z3,6.298096726390001e-16,138.433859041,2.58880789461,0.184729152567,0.251664259712,49.7049,16.8893,0.067502066236,A087A,2.3527317793,-1.0
7,"[array([ 0.22497437,  0.09548529,  0.08846   ,  0.1813236 ,  0.40608532,
        0.245115  ,  0.23836452,  0.44694132,  0.01058412,  0.01429692])]","[array([ 0.81655921,  0.59887635,  0.10531124,  0.6108521 ,  1.20901877,
        0.72865257,  0.51884439,  1.01443886,  0.7216057 ,  0.39737548])]","[array([ 0.46764101,  0.63950622,  0.18038939,  0.74470141])]",20.1626568248,98.23475276399999,0.610852103535,0.46254540265199995,0.598876349445,0.467641014849,1.04141424967,0.0636985328371,0.105311236297,0.639506221335,97.0,CZ,0.41757988702699994,80.5992102645,2.10049996476,0.21223849289299998,0.7064761981669999,48.8199,14.3095,1.10130519258,CKRC,1.2301479233,-1.0
8,"[array([ 0.65231713,  0.22948837,  0.5420433 ,  0.3126682 ,  0.11667721,
        0.18445544,  0.21652423,  0.13225976,  0.1539424 ,  0.00073778])]","[array([ 1.45626166,  0.30362745,  0.95983947,  0.46579371,  0.16111708,
        0.15601964,  0.21660694,  0.124996  ,  0.01348031,  0.14888944])]","[array([ 0.20519116,  0.46644424,  0.15593542,  0.30275986])]",13.7774111871,21.9013672401,0.465793705606,0.22934763748300002,0.303627445944,0.205191159763,0.778992880987,0.031243165562499998,0.959839474712,0.466444241435,140.0,Z3,1.0,119.01875001799999,2.0943664490400002,0.0998363129497,-0.287908125447,48.740379,16.020298,0.544233471501,A006A,1.0336198484399999,-1.0
9,"[array([ 0.43005002,  0.03931533,  0.132449  ,  0.16835081,  0.07517721,
        0.22068399,  0.20753491,  0.11433556,  0.16621683,  0.54101362])]","[array([ 0.54684898,  0.36388424,  0.26791423,  0.15553116,  0.04658665,
        0.19567172,  0.59897542,  0.07193494,  0.20446549,  0.83130732])]","[array([ 0.58745848,  0.47985605,  0.37600019,  0.0441801 ])]",103.06716574,156.799179179,0.155531161347,0.210090146517,0.36388423978,0.587458476739,0.952285741576,0.06916023937350001,0.267914234031,0.479856050923,204.0,IV,0.99306490085,169.770344466,2.20560337565,0.510233493763,0.455617882731,43.55017,13.602,0.233582193691,AOI,0.999924625882,1.0
